Consulta estado de cuenta del contrato:|26223|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 15:27:30|Equipo|:192.168.14.3
Imprime estado de cuenta del contrato:|10640|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:29:28|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|10641|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:31:38|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|10641|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:31:48|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|10641|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:32:19|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|7081|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:42:15|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|7081|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:42:23|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|7081|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:42:37|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|9196|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:43:23|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|9196|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:43:27|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|9196|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:44:16|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|3671|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:45:51|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|3671|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:47:05|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|845|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:48:27|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|845|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:50:13|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|3431|Usuario:|jhuanca|Fecha y hora:|08/02/2021 15:52:09|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|21918|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 15:57:09|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:|21918|Usuario:|HHUANCA|Fecha y hora:|08/02/2021 15:57:15|Equipo|:192.168.17.4
Consulta estado de cuenta del contrato:||Usuario:|SMAMANI|Fecha y hora:|08/02/2021 15:58:46|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25233|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 16:04:53|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25321|Usuario:|SMAMANI|Fecha y hora:|08/02/2021 16:05:50|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24654|Usuario:|jhuanca|Fecha y hora:|08/02/2021 16:10:48|Equipo|:192.168.18.8
Consulta estado de cuenta del contrato:|24654|Usuario:|jhuanca|Fecha y hora:|08/02/2021 16:10:52|Equipo|:192.168.18.8
Imprime estado de cuenta del contrato:|24654|Usuario:|jhuanca|Fecha y hora:|08/02/2021 16:11:07|Equipo|:192.168.18.8
